名称,区域代码,人口
乌拉特中旗ᠤᠷᠠᠳ ᠤᠨᠳᠤᠮᠳᠠᠳᠤᠬᠣᠰᠢᠭᠤ,150824,"112,159"
乌拉特后旗ᠤᠷᠠᠳ ᠤᠨᠬᠣᠶᠢᠲᠤᠬᠣᠰᠢᠭᠤ,150825,"53,946"
杭锦后旗ᠬᠠᠩᠭᠢᠨᠬᠣᠶᠢᠲᠤᠬᠣᠰᠢᠭᠤ,150826,"217,573"
乌兰察布市ᠤᠯᠠᠭᠠᠨᠴᠠᠪᠬᠣᠲᠠ,150900,"1,706,328"
集宁区ᠵᠢᠨᠢᠩᠲᠣᠭᠣᠷᠢᠭ,150902,"425,059"
卓资县ᠵᠦᠸᠧᠽᠢᠰᠢᠶᠠᠨ,150921,"85,648"
化德县ᠬᠤᠸᠠᠳ᠋ᠧᠰᠢᠶᠠᠨ,150922,"95,273"
商都县ᠱᠠᠩᠳᠤᠰᠢᠶᠠᠨ,150923,"173,926"
兴和县ᠰᠢᠩᠾᠧᠰᠢᠶᠠᠨ,150924,"167,881"
凉城县ᠯᠢᠶᠠᠩᠴᠧᠩᠰᠢᠶᠠᠨ,150925,"119,061"
察哈尔右翼前旗ᠴᠠᠬᠠᠷᠪᠠᠷᠠᠭᠤᠨᠭᠠᠷᠤᠨᠡᠮᠦᠨᠡᠳᠦᠬᠣᠰᠢᠭᠤ,150926,"125,172"
察哈尔右翼中旗ᠴᠠᠬᠠᠷᠪᠠᠷᠠᠭᠤᠨᠭᠠᠷᠤᠨᠳᠤᠮᠳᠠᠳᠤᠬᠣᠰᠢᠭᠤ,150927,"86,108"
察哈尔右翼后旗ᠴᠠᠬᠠᠷᠪᠠᠷᠠᠭᠤᠨᠭᠠᠷᠤᠨᠬᠣᠶᠢᠲᠤᠬᠣᠰᠢᠭᠤ,150928,"103,599"
四子王旗ᠳᠥᠷᠪᠡᠳᠬᠣᠰᠢᠭᠤ,150929,"129,372"
丰镇市ᠹᠧᠩᠵᠧᠨᠬᠣᠲᠠ,150981,"195,229"
鞍山市,210300,"3,417,777"
铁东区,210302,"564,092"
铁西区,210303,"289,689"
立山区,210304,"397,650"
千山区,210311,"224,362"
台安县,210321,"365,110"
岫岩满族自治县,210323,"505,674"
海城市,210381,"1,071,200"
抚顺市,210400,"1,861,372"
新抚区,210402,"222,984"
东洲区,210403,"236,731"
望花区,210404,"396,257"
顺城区,210411,"466,126"
抚顺县,210421,"83,125"
新宾满族自治县,210422,"217,259"
清原满族自治县,210423,"238,890"
本溪市,210500,"1,326,018"
平山区,210502,"226,059"
溪湖区,210503,"204,660"
明山区,210504,"378,936"
南芬区,210505,"55,560"
本溪满族自治县,210521,"230,850"
桓仁满族自治县,210522,"229,953"
丹东市,210600,"2,188,436"
元宝区,210602,"202,325"
振兴区,210603,"423,538"
振安区,210604,"189,995"
宽甸满族自治县,210624,"334,636"
东港市,210681,"568,566"
凤城市,210682,"469,376"
锦州市,210700,"2,703,853"
古塔区,210702,"252,209"
凌河区,210703,"402,038"
太和区,210711,"457,602"
黑山县,210726,"451,206"
义县,210727,"305,996"
凌海市,210781,"412,513"
北镇市,210782,"422,289"
营口市,210800,"2,328,582"
站前区,210802,"261,439"
西市区,210803,"212,913"
鲅鱼圈区,210804,"541,113"
老边区,210811,"146,748"
盖州市,210881,"559,271"
大石桥市,210882,"607,098"
阜新市,210900,"1,647,280"
海州区,210902,"234,029"
新邱区,210903,"66,769"
太平区,210904,"142,171"
清河门区,210905,"51,394"
细河区,210911,"273,525"
阜新蒙古族自治县,210921,"545,749"
彰武县,210922,"333,643"
辽阳市,211000,"1,604,580"
白塔区,211002,"359,401"
文圣区,211003,"160,466"
宏伟区,211004,"142,491"
弓长岭区,211005,"80,870"
太子河区,211011,"134,604"
辽阳县,211021,"372,131"
灯塔市,211081,"354,617"
盘锦市,211100,"1,389,691"
双台子区,211102,"214,290"
兴隆台区,211103,"529,394"
大洼区,211104,"422,797"
盘山县,211122,"223,210"
铁岭市,211200,"2,388,294"
银州区,211202,"375,292"
清河区,211204,"84,693"
铁岭县,211221,"324,383"
西丰县,211223,"225,123"
昌图县,211224,"711,818"
调兵山市,211281,"206,058"
开原市,211282,"460,927"
朝阳市,211300,"2,872,857"
双塔区,211302,"463,543"
龙城区,211303,"222,065"
朝阳县,211321,"404,460"
建平县,211322,"455,826"
喀喇沁左翼蒙古族自治县,211324,"346,133"
北票市,211381,"439,998"
凌源市,211382,"540,832"
葫芦岛市,211400,"2,434,194"
连山区,211402,"468,110"
龙港区,211403,"294,250"
南票区,211404,"182,135"
绥中县,211421,"545,963"
建昌县,211422,"453,436"
兴城市,211481,"490,300"
吉林市,220200,"4,135,218"
昌邑区,220202,"608,539"
龙潭区,220203,"437,925"
船营区,220204,"459,794"
丰满区,220211,"291,777"
永吉县,220221,"379,664"
蛟河市,220281,"421,830"
桦甸市,220282,"421,509"
舒兰市,220283,"607,753"
磐石市,220284,"506,427"
四平市,220300,"1,814,733"
铁西区,220302,"314,307"
铁东区,220303,"313,650"
梨树县,220322,"537,145"
伊通满族自治县,220323,"331,873"
双辽市,220382,"317,758"
辽源市,220400,"996,903"
龙山区,220402,"327,079"
西安区,220403,"136,337"
东丰县,220421,"307,302"
东辽县,220422,"226,185"
通化市,220500,"1,812,114"
东昌区,220502,"355,346"
二道江区,220503,"91,571"
通化县,220521,"175,114"
辉南县,220523,"237,113"
柳河县,220524,"274,414"
梅河口市,220581,"509,336"
集安市,220582,"169,220"
白山市,220600,"951,866"
浑江区,220602,"307,982"
江源区,220605,"138,272"
抚松县,220621,"217,252"
靖宇县,220622,"108,478"
长白朝鲜族自治县,220623,"58,266"
临江市,220681,"121,616"
松原市,220700,"2,252,994"
宁江区,220702,"713,430"
前郭尔罗斯蒙古族自治县,220721,"407,385"
长岭县,220722,"451,620"
乾安县,220723,"205,542"
扶余市,220781,"475,017"
白城市,220800,"1,551,378"
洮北区,220802,"474,276"
镇赉县,220821,"217,387"
通榆县,220822,"281,589"
洮南市,220881,"307,215"
大安市,220882,"270,911"
齐齐哈尔市,230200,"4,067,489"
龙沙区,230202,"355,849"
建华区,230203,"332,566"
铁锋区,230204,"271,372"
昂昂溪区,230205,"67,824"
富拉尔基区,230206,"197,424"
碾子山区,230207,"56,553"
梅里斯达斡尔族区,230208,"125,399"
龙江县,230221,"414,285"
依安县,230223,"353,872"
泰来县,230224,"249,153"
甘南县,230225,"288,203"
富裕县,230227,"224,040"
克山县,230229,"255,041"
克东县,230230,"156,983"
拜泉县,230231,"282,019"
讷河市,230281,"436,906"
黑河市,231100,"1,286,401"
爱辉区,231102,"223,832"
逊克县,231123,"82,134"
孙吴县,231124,"73,387"
北安市,231181,"308,237"
五大连池市,231182,"243,283"
嫩江市,231183,"355,528"
大庆市,230600,"2,781,562"
萨尔图区,230602,"327,192"
龙凤区,230603,"524,606"
让胡路区,230604,"592,603"
红岗区,230605,"129,988"
大同区,230606,"180,266"
肇州县,230621,"306,036"
肇源县,230622,"330,340"
林甸县,230623,"191,238"
杜尔伯特蒙古族自治县,230624,"199,293"
伊春市,230700,"878,881"
伊美区,230717,"173,320"
乌翠区,230718,"72,259"
友好区,230719,"54,302"
金林区,230751,"60,466"
嘉荫县,230722,"56,523"
汤旺县,230723,"33,245"
丰林县,230724,"62,214"
大箐山县,230725,"57,697"
南岔县,230726,"82,895"
铁力市,230781,"225,960"
